Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,Sentiment
62748,B000I1OLT2,A3U7LZDJ6ZF3AU,Poodle Mom,1,5,1,1288137600,Not if you like Salada Green Chai Tea,"I'd never tried this before, but because I like Salada's version so much, and the reviews were so good, I figured I'd try it.  Well, it's just not MY cup of tea - really intesely sweet spices - back to Salada for me!",negative
531799,B005K4Q34S,A3NS0YMSWNF8HP,she say whaaaat?,0,0,5,1332460800,Just what I'd hoped for!,I bought this coffee after reading multiple reviews that it was just like gas station cappuccino (which I LOVE). Turns out it really is! It has that sweet creamy vanilla taste that requires absolutely no creamers or sugar!I am so pleased that I don't have to go to my local gas station to enjoy this sweet treat anymore!,positive
57335,B00817GPWQ,A1PWRVOY3M2SAO,SurferGurl96770,1,1,5,1273276800,Decadent In A Good Kind Of Way,"When I opened the box the aroma of this coffee permeated the room in a wonderful way. I love the taste of this coffee. Its smooth and flavorful but not overpowering. It reminds me so much of one my all time favorites, Gevalia Chocolate Raspberry. I never thought I would say this, but I find it better. When I am in the mood for a flavored coffee, I now use Van Houtte's Chocolate Raspberry Truffle. Its so decadent in a good kind of way.",positive
169880,B000FBM480,A1VBQ8ANDKZWTE,L. Weng,0,0,5,1273536000,Wonderful Taste,"It tastes perfect. I like it.<br />You would ""feel"" the butter in the cookies.",positive
333693,B00472GKC4,A19YA6BM16GT8D,qona,3,4,1,1320451200,They changed the recipe! No longer tasty,"But it's just as well as they aren't good for you.<br />But I sure used to love them. They used to have a delicious taste and texture. They used to be really oily. When you bit them they had a unique crystally magic crunch texture. When you bit it it came apart in flaky layers.<br /><br />Today when I bought one I was worried as the package was different. Also on the inside I knew it was different because the old bars used to be surrounded by a wax cardboard liner on 3 sides, now the new one had it only on the bottom. I could see that the new bar did not have chocolate swirls even though it was marble. The old ones you could clearly see chocolate swirls.<br />The new one: first bite, dry, no velvet crystal crunch texture, no tearing off and leaving flaky layers extending. It was not oily. AND WORST OF ALL: IT HAD NO FLAVOR! AND EVEN WORSE: IT HAS A SOUR RANCID TASTE AND THERE IS NO DATE ON PAKCAGE. SHAME ON YOU JOYVA FOR CHANGING THE RECIPE. MORONS",negative
345783,B004DBXLNU,A1AGLELE49YTW,TampaMom,0,1,1,1308700800,Awful!,This product separates and looks like it is curdled. White chunks remain in your hair after you apply it. Terrible!,negative
90744,B0048GRNZM,AXG287OY16WWL,JENNY,0,0,1,1351123200,Cute,"For some reason I thought that you got three ""pops"" but you only get one.  For the price I paid for the Puff Pop and shipping it was just a little too much.  Everyone laughed at it and thought it was cool for a few days and then it was set aside and then misplaced.  Too pricey but cute item!",negative
539343,B001BDDT8K,A10U8DJAPJJI8I,"William Hefner ""William Van Hefner""",4,8,1,1227916800,Cat Goes On Hunger Strike,"I received two cases of Petite Cusine from Amazon.com earlier this week. I figured that this would be an easy product to review. After all, what could possibly go wrong with cat food? I have a cat. He eats food. Seems simple enough.<br /><br />Well, here's the problem... My cat, who is well-known for eating just about anything, refuses to touch this stuff. From the rest of the reviews here, you would think that this was some sort of feline version of steak and lobster. My cat refuses to play along though.<br /><br />I guess that I can understand why my cat keeps staring at me with this puzzled look on his face. This is not ordinary cat food. At least not the batch I received. Even before I opened the can, I was struck by the fact that there seemed to be more liquid inside than solid. Sure enough, upon opening the can I found the contents to consist of a LOT, and I mean a LOT, of water. It has more of the consistency of soup than of ordinary cat food. If it were human food, you wouldn't be able to eat it with a fork. You would need a spoon, or maybe even a straw. This seemed to be the case with all of the varieties that I tested on my cat.<br /><br />My cat refuses to eat any of the many flavors of this food I have put in front of him. No, he's not sick, and he seems to have a quite healthy appetite for his regular dry food. I wish that I could come up with even a single positive thing to say about Petite Cusine. Nice looking box? That's about it.",negative
436357,B000XE90FY,A15O6OUVVNN92O,Me2,0,0,1,1339632000,DO NOT BUY THIS PRODUCT!,Our family dog died a few days ago because of this bone.  DO NOT BUY THIS DOG CHEWY!  The bone became lodged in the dog's throat and he suffocated.  Within in minutes the dog passed away.  There was nothing we could do though we tried.<br /><br />We loved our dog.  I hope this review might keep others from going through the loss of a beloved pet.<br /><br />DO NOT BUY THIS!  The risk is to high.,negative
551636,B000XDQRII,AC0D3WHXSJUOB,Desert Woman,3,3,5,1296172800,Best broth!,"This is THE best chicken broth for me.  They stopped carrying it in my store so I can only order it on-line.  It's tasty but doesn't have a lot of bad ingredients that other chicken broths do, especially if you have food allergies and sensitivities.  I hope it's available again soon.",positive
